17,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-12-13 07:39:00,1
2019-12-13 07:42:00,1
2019-12-13 07:43:00,1
2019-12-13 09:07:00,2
2019-12-13 10:52:00,1
2019-12-13 11:10:00,5
2019-12-13 11:11:00,1
2019-12-13 11:12:00,1
2019-12-13 11:16:00,1
2019-12-13 11:17:00,1
2019-12-13 11:39:00,1
2019-12-13 14:37:00,1
